quadrant,censusID,person in charge,data collection date,data entry person,data entry date,1st data curator,1st curation date,2nd data curator,2nd curation date
A01,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
A02,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
A03,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
A04,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
A05,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
A06,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
A07,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
A08,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
A09,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
A10,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
A11,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
A12,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
A13,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
A14,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
A15,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
A16,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
A17,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
A18,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
A19,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
A20,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
B01,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
B02,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
B03,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
B04,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
B05,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
B06,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
B07,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
B08,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
B09,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
B10,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
B11,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
B12,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
B13,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
B14,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
B15,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
B16,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
B17,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
B18,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
B19,2014,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Mariela Nuñez Ávila,2011,Fernanda Montero-Silva,6/3/2024
B20,2014,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Mariela Nuñez Ávila,2012,Fernanda Montero-Silva,6/3/2024
C01,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
C02,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
C03,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
C04,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
C05,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
C06,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Mariela Nuñez Ávila,2014,Fernanda Montero-Silva,6/3/2024
C07,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
C08,2014,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Mariela Nuñez Ávila,2013,Fernanda Montero-Silva,6/3/2024
