quadrant,tag,stemID,treeID,IDSpp,sprout,recruited,x,y,dbh,condition,crown_position,shape,damage,observation,ExactDate,censusID
A01,801,A01_801,A01_801,TEST,,Prior,340,85,10,M,-999,r,,,2/3/2024,2024
A01,802,A01_802,A01_802,TEST,,Prior,465,0,11,V,CD,I,,,2/3/2024,2024
A02,1401,A02_1401,A02_1401,TEST,,Prior,20,400,11.9,V,CD,,,,2/3/2024,2024
A02,1402,A02_1402,A02_1402,TEST,,Prior,50,380,13.4,V,CD,,,,2/3/2024,2024
A02,1403,A02_1403,A02_1403,TEST,,Prior,80,480,14.7,V,CD,,,,2/3/2024,2024
A02,1452,A02_1452,A02_1452,TEST,,Prior,230,220,15,V,CD,I,,,2/3/2024,2024
A02,1453,A02_1453,A02_1453,SACO,,Prior,410,170,6.5,V,CD,,,,2/3/2024,2024
A02,1454,A02_1454,A02_1454,SACO,,Prior,460,40,14.1,V,DO,,,,2/3/2024,2024
A02,1455,A02_1455,A02_1455,SACO,,Prior,470,110,5.1,V,DO,,,se sacó musgo para DAP,2/3/2024,2024
A03,1023,A03_1023,A03_1023,CAPA,,Prior,60,20,9.9,V,CD,,,,2/3/2024,2024
A03,1024,A03_1024,A03_1024,TEST,,Prior,370,140,15.5,V,CD,I,,,2/3/2024,2024
A03,1025,A03_1025,A03_1025,PONU,,Prior,440,120,42.5,V,DO,,,,2/3/2024,2024
A03,2304,A03_2304,A03_2304,TEST,,Prior,480,200,-999,M,-999,,,2304 nueva chapa (aunque estaba muerto),2/3/2024,2024
A04,1165,A04_1165,A04_1165,SACO,,Prior,150,330,6.6,V,IN,I,,,2/3/2024,2024
A04,1167,A04_1167,A04_1167,SACO,,Prior,390,70,10.5,V,CD,,,,2/3/2024,2024
A04,1168,A04_1168,A04_1168,TEST,,Prior,410,110,20.1,V,CD,I,,,2/3/2024,2024
A04,1169,A04_1169,A04_1169,TEST,,Prior,430,130,18.1,E,IN,,,,2/3/2024,2024
A04,1170,A04_1170,A04_1170,TEST,,Prior,450,90,9.5,V,BD,I,,,2/3/2024,2024
A04,1172,A04_1172,A04_1172,TEST,,Prior,300,170,8.3,V,BD,,,,2/3/2024,2024
A04,1173,A04_1173,A04_1173,TEST,,Prior,350,200,17.2,V,DO,,,,2/3/2024,2024
A05,901,A05_901,A05_901,PONU,,Prior,50,480,12,M,-999,I,,tiene rebrote en la base,2/3/2024,2024
A05,902,A05_902,A05_902,CAPA,,Prior,237,384,9.8,M,BD,I,C,caído,2/3/2024,2024
A05,903,A05_903,A05_903,TEST,,Prior,5,394,15.7,V,IN,I,,,2/3/2024,2024
A05,904,A05_904,A05_904,SACO,,Prior,320,320,10.4,V,CD,,,,2/3/2024,2024
A05,905,A05_905,A05_905,TEST,,Prior,200,155,10,V,CD,,,,2/3/2024,2024
A05,906,A05_906,A05_906,SACO,,Prior,430,280,9,V,CD,,,,2/3/2024,2024
A06,801,A06_801,A06_801,SACO,,Prior,142,165,7.8,E,BD,,,,2/3/2024,2024
A06,802,A06_802,A06_802,SACO,,Prior,232,208,44.5,V,EM,,,,2/3/2024,2024
A06,803,A06_803,A06_803,SACO,,Prior,202,330,24.1,V,EM,,,,2/3/2024,2024
A06,804,A06_804,A06_804,SACO,,Prior,363,110,14.5,V,IN,,,,2/3/2024,2024
A06,805,A06_805,A06_805,TEST,,Prior,363,110,13.8,V,IN,I,,,2/3/2024,2024
A06,806,A06_806,A06_806,TEST,,Prior,454,47,21.5,V,IN,r,,,2/3/2024,2024
A07,280,A07_280,A07_280,PONU,,Prior,400,150,15.1,V,IN,,,,2/3/2024,2024
A07,281,A07_281,A07_281,PONU,,Prior,420,160,7.4,V,IN,,,,2/3/2024,2024
A07,282,A07_282,A07_282,TEST,,Prior,230,430,13.1,V,CD,,,,2/3/2024,2024
A07,384,A07_384,A07_384,TEST,,Prior,120,370,24,V,DO,,,,2/3/2024,2024
A07,385,A07_385,A07_385,CAPA,,Prior,100,290,14.7,V,CD,I,,,2/3/2024,2024
A07,386,A07_386,A07_386,TEST,,Prior,160,460,9.5,V,DO,,,,2/3/2024,2024
A08,138,A08_138,A08_138,WETR,,Prior,52,237,6.3,V,BD,I,,,2/3/2024,2024
A08,544,A08_544,A08_544,CAPA,,Prior,190,306,13.5,V,IN,I,,,2/3/2024,2024
A08,546,A08_546,A08_546,CAPA,,Prior,302,362,7.1,M,-999,I,,muestra con rebrote en la base,2/3/2024,2024
A08,547,A08_547,A08_547,CAPA,,Prior,258,500,7.5,V,IN,,,,2/3/2024,2024
A08,548,A08_548,A08_548,CAPA,,Prior,258,490,10.8,V,IN,,,,2/3/2024,2024
A08,549,A08_549,A08_549,CAPA,,Prior,291,436,5.4,V,IN,,,,2/3/2024,2024
A08,567,A08_567,A08_567,CAPA,,Prior,304,434,6.4,V,IN,,,,2/3/2024,2024
A08,568,A08_568,A08_568,TEST,,Prior,294,311,6.7,V,BD,,,es tepu!!,2/3/2024,2024
A09,785,A09_785,A09_785,TEST,,Prior,150,250,10.5,V,CD,,,,2/3/2024,2024
