quadrant,tag,stemID,treeID,IDSpp,sprout,recruited,x,y
A01,801,A01_801,A01_801,TEST,,Prior,340,85
A01,802,A01_802,A01_802,TEST,,Prior,465,0
A02,1401,A02_1401,A02_1401,TEST,,Prior,20,400
A02,1402,A02_1402,A02_1402,TEST,,Prior,50,380
A02,1403,A02_1403,A02_1403,TEST,,Prior,80,480
A02,1452,A02_1452,A02_1452,TEST,,Prior,230,220
A02,1453,A02_1453,A02_1453,SACO,,Prior,410,170
A02,1454,A02_1454,A02_1454,SACO,,Prior,460,40
A02,1455,A02_1455,A02_1455,SACO,,Prior,470,110
A03,1023,A03_1023,A03_1023,CAPA,,Prior,60,20
A03,1024,A03_1024,A03_1024,TEST,,Prior,370,140
A03,1025,A03_1025,A03_1025,PONU,,Prior,440,120
A03,2304,A03_2304,A03_2304,TEST,,Prior,480,200
A04,1165,A04_1165,A04_1165,SACO,,Prior,150,330
A04,1167,A04_1167,A04_1167,SACO,,Prior,390,70
A04,1168,A04_1168,A04_1168,TEST,,Prior,410,110
A04,1169,A04_1169,A04_1169,TEST,,Prior,430,130
A04,1170,A04_1170,A04_1170,TEST,,Prior,450,90
A04,1172,A04_1172,A04_1172,TEST,,Prior,300,170
A04,1173,A04_1173,A04_1173,TEST,,Prior,350,200
A05,901,A05_901,A05_901,PONU,,Prior,50,480
A05,902,A05_902,A05_902,CAPA,,Prior,237,384
A05,903,A05_903,A05_903,TEST,,Prior,5,394
A05,904,A05_904,A05_904,SACO,,Prior,320,320
A05,905,A05_905,A05_905,TEST,,Prior,200,155
A05,906,A05_906,A05_906,SACO,,Prior,430,280
A06,801,A06_801,A06_801,SACO,,Prior,142,165
A06,802,A06_802,A06_802,SACO,,Prior,232,208
A06,803,A06_803,A06_803,SACO,,Prior,202,330
A06,804,A06_804,A06_804,SACO,,Prior,363,110
A06,805,A06_805,A06_805,TEST,,Prior,363,110
A06,806,A06_806,A06_806,TEST,,Prior,454,47
A07,280,A07_280,A07_280,PONU,,Prior,400,150
A07,281,A07_281,A07_281,PONU,,Prior,420,160
A07,282,A07_282,A07_282,TEST,,Prior,230,430
A07,384,A07_384,A07_384,TEST,,Prior,120,370
A07,385,A07_385,A07_385,CAPA,,Prior,100,290
A07,386,A07_386,A07_386,TEST,,Prior,160,460
A08,138,A08_138,A08_138,WETR,,Prior,52,237
A08,544,A08_544,A08_544,CAPA,,Prior,190,306
A08,546,A08_546,A08_546,CAPA,,Prior,302,362
A08,547,A08_547,A08_547,CAPA,,Prior,258,500
A08,548,A08_548,A08_548,CAPA,,Prior,258,490
A08,549,A08_549,A08_549,CAPA,,Prior,291,436
A08,567,A08_567,A08_567,CAPA,,Prior,304,434
A08,568,A08_568,A08_568,TEST,,Prior,294,311
A09,785,A09_785,A09_785,TEST,,Prior,150,250
A09,786,A09_786,A09_786,CAPA,,Prior,270,0
A09,787,A09_787,A09_787,TEST,,Prior,370,40
A09,788,A09_788,A09_788,CAPA,,Prior,350,0
A09,789,A09_789,A09_789,TEST,,Prior,420,200
A09,790,A09_790,A09_790,TEST,,Prior,310,210
A10,2305,A10_2305,A10_2305,NONI,,Prior,460,170
A10,960,A10_960,A10_960,SACO,,Prior,150,360
A10,961,A10_961,A10_961,PONU,,Prior,485,350
A10,962,A10_962,A10_962,TEST,,Prior,490,290
A10,964,A10_964,A10_964,TEST,,Prior,370,15
A11,123,A11_123,A11_124,PONU,R1,Prior,240,60
A11,124,A11_124,A11_124,PONU,R1,Prior,460,460
A12,401,A12_401,A12_401,TEST,,Prior,10,70
A12,402,A12_402,A12_402,TEST,,Prior,60,70
A12,403,A12_403,A12_404,TEST,R1,Prior,140,90
A12,404,A12_404,A12_404,TEST,R1,Prior,150,110
A12,405,A12_405,A12_405,TEST,,Prior,220,50
A12,406,A12_406,A12_406,TEST,,Prior,240,60
A12,407,A12_407,A12_407,TEST,,Prior,270,50
A12,408,A12_408,A12_408,SACO,,Prior,370,140
A12,409,A12_409,A12_409,TEST,,Prior,180,300
A12,410,A12_410,A12_410,TEST,,Prior,170,270
A13,561,A13_561,A13_561,TEST,,Prior,0,75
A13,562,A13_562,A13_562,TEST,,Prior,0,370
A13,563,A13_563,A13_563,TEST,,Prior,70,360
A13,565,A13_565,A13_565,PONU,,Prior,260,220
A13,566,A13_566,A13_566,TEST,,Prior,160,500
A13,NA,A13_NA,A13_NA,TEST,,Prior,250,230
A14,2306,A14_2306,A14_2306,DRWI,,Prior,320,410
A14,432,A14_432,A14_432,DRWI,,Prior,50,100
A14,433,A14_433,A14_433,DRWI,,Prior,125,340
A14,434,A14_434,A14_434,DRWI,,Prior,70,390
A14,436,A14_436,A14_436,CAPA,,Prior,340,450
A14,437,A14_437,A14_437,CRHO,,Prior,370,430
A14,438,A14_438,A14_438,DRWI,,Prior,350,480
A14,439,A14_439,A14_439,DRWI,,Prior,440,440
A14,440,A14_440,A14_440,DRWI,,Prior,430,390
A14,441,A14_441,A14_441,DRWI,,Prior,410,320
A14,442,A14_442,A14_442,DRWI,,Prior,490,210
A14,444,A14_444,A14_444,DRWI,,Prior,490,90
A15,102,A15_102,A15_102,DRWI,,Prior,35,250
A15,103,A15_103,A15_103,DRWI,,Prior,120,195
A15,104,A15_104,A15_104,DRWI,,Prior,160,155
A15,105,A15_105,A15_105,DRWI,,Prior,210,90
A15,106,A15_106,A15_106,DRWI,,Prior,250,15
A15,107,A15_107,A15_107,NONI,,Prior,435,0
A15,108,A15_108,A15_108,DRWI,,Prior,360,190
A15,109,A15_109,A15_109,DRWI,,Prior,380,210
A15,110,A15_110,A15_110,-999,,Prior,300,170
A15,111,A15_111,A15_111,PONU,,Prior,440,360
A15,112,A15_112,A15_112,AMLU,,Prior,390,460
A16,1,A16_1,A16_1,NONI,,Prior,180,205
A16,2,A16_2,A16_2,NONI,,Prior,190,420
A16,3,A16_3,A16_3,DRWI,,Prior,330,330
A16,4,A16_4,A16_4,DRWI,,Prior,410,330
A17,501,A17_501,A17_501,NONI,R1,Prior,260,16
A17,502,A17_502,A17_501,CAPA,R1,Prior,260,75
A17,503,A17_503,A17_503,AMME,,Prior,15,200
A17,504,A17_504,A17_504,AMME,,Prior,0,210
A17,505,A17_505,A17_505,CAPA,,Prior,80,277
A17,506,A17_506,A17_506,CAPA,,Prior,90,300
A17,507,A17_507,A17_507,CAPA,,Prior,167,373
A17,508,A17_508,A17_508,CAPA,,Prior,175,280
A17,509,A17_509,A17_509,TEST,,Prior,190,270
A17,510,A17_510,A17_510,TEST,,Prior,230,270
A17,542,A17_542,A17_542,TEST,,Prior,270,5
A17,99,A17_99,A17_99,CAPA,,Prior,210,420
A18,2308,A18_2308,A18_2308,DRWI,,Prior,110,160
A18,361,A18_361,A18_361,NONI,,Prior,0,300
A18,362,A18_362,A18_362,TEST,,Prior,80,357
A18,363,A18_363,A18_363,DRWI,,Prior,140,470
A18,364,A18_364,A18_364,DRWI,,Prior,140,425
A18,365,A18_365,A18_365,DRWI,,Prior,153,385
A18,366,A18_366,A18_366,DRWI,,Prior,189,480
A18,367,A18_367,A18_367,NONI,,Prior,228,440
A18,369,A18_369,A18_369,CAPA,,Prior,300,450
A18,371,A18_371,A18_371,CAPA,,Prior,310,360
A18,372,A18_372,A18_372,CAPA,,Prior,300,360
A18,373,A18_373,A18_373,WETR,R2,Prior,360,400
A18,375,A18_375,A18_375,TEST,,Prior,220,260
A18,376,A18_376,A18_376,TEST,,Prior,160,280
A18,378,A18_378,A18_378,TEST,,Prior,130,340
A18,379,A18_379,A18_379,DRWI,,Prior,90,310
A18,380,A18_380,A18_380,TEST,,Prior,290,120
A18,381,A18_381,A18_381,TEST,,Prior,260,70
A18,386,A18_386,A18_386,TEST,,Prior,40,20
A18,388,A18_388,A18_373,WETR,R2,Prior,0,320
A18,540,A18_540,A18_541,TEST,R1,Prior,350,30
A18,541,A18_541,A18_541,TEST,R1,Prior,310,80
A19,301,A19_301,A19_301,DRWI,,Prior,16,130
A19,302,A19_302,A19_302,PONU,,Prior,160,140
A19,303,A19_303,A19_303,DRWI,,Prior,190,265
A19,304,A19_304,A19_304,DRWI,,Prior,135,325
A19,305,A19_305,A19_305,AMLU,,Prior,210,420
A19,306,A19_306,A19_306,NONI,,Prior,245,150
A19,307,A19_307,A19_307,DRWI,,Prior,220,125
A19,308,A19_308,A19_308,NONI,,Prior,290,64
A19,309,A19_309,A19_309,DRWI,,Prior,138,290
A19,310,A19_310,A19_310,TEST,,Prior,452,450
A19,311,A19_311,A19_311,TEST,,Prior,475,432
A19,312,A19_312,A19_312,TEST,,Prior,480,420
A20,11,A20_11,A20_11,TEST,,Prior,430,92
A20,13,A20_13,A20_13,TEST,,Prior,460,10
A20,2309,A20_2309,A20_2309,DRWI,,Prior,25,450
A20,2310,A20_2310,A20_2310,NONI,,Prior,340,30
A20,3,A20_3,A20_3,DRWI,,Prior,158,420
A20,5,A20_5,A20_5,DRWI,,Prior,223,441
A20,6,A20_6,A20_6,DRWI,,Prior,187,360
A20,8,A20_8,A20_8,AMLU,,Prior,325,344
A20,9,A20_9,A20_9,NONI,,Prior,495,107
B01,803,B01_803,B01_803,CRHO,,Prior,500,360
B01,804,B01_804,B01_804,CRHO,,Prior,450,150
B01,805,B01_805,B01_805,CRHO,,Prior,470,65
B01,806,B01_806,B01_806,CRHO,,Prior,390,220
B02,1404,B02_1404,B02_1404,TEST,,Prior,70,450
B02,1405,B02_1405,B02_1405,TEST,,Prior,190,460
B02,1457,B02_1457,B02_1457,SACO,,Prior,0,150
B04,1174,B04_1174,B04_1174,NONI,,Prior,360,270
B04,1175,B04_1175,B04_1175,SACO,,Prior,280,360
B04,1176,B04_1176,B04_1176,TEST,,Prior,20,230
B05,907,B05_907,B05_907,SACO,,Prior,50,260
B05,908,B05_908,B05_908,PONU,,Prior,185,207
B05,909,B05_909,B05_909,PONU,,Prior,245,93
B05,910,B05_910,B05_910,PONU,,Prior,470,160
B06,807,B06_807,B06_807,PONU,,Prior,243,117
B06,808,B06_808,B06_808,CAPA,,Prior,114,197
B06,809,B06_809,B06_809,PONU,,Prior,137,356
B06,810,B06_810,B06_810,-999,,Prior,243,407
B06,811,B06_811,B06_811,NONI,,Prior,275,460
B06,813,B06_813,B06_813,TEST,,Prior,468,483
B06,814,B06_814,B06_814,TEST,,Prior,434,483
B06,815,B06_815,B06_815,TEST,,Prior,408,444
B07,283,B07_283,B07_283,CAPA,,Prior,40,340
B07,284,B07_284,B07_284,TEST,,Prior,220,440
B07,285,B07_285,B07_285,-999,,Prior,220,90
B07,286,B07_286,B07_286,PONU,,Prior,290,60
B07,287,B07_287,B07_287,CAPA,,Prior,280,30
B07,387,B07_387,B07_387,PONU,,Prior,70,140
B07,388,B07_388,B07_388,TEST,,Prior,80,80
B07,389,B07_389,B07_389,PONU,,Prior,300,120
B07,390,B07_390,B07_390,-999,,Prior,200,40
B07,812,B07_812,B07_812,TEST,,Prior,456,24
B08,569,B08_569,B08_569,TEST,,Prior,14.5,442.5
B08,570,B08_570,B08_570,TEST,,Prior,14.5,429
B08,571,B08_571,B08_571,TEST,,Prior,32.5,388
B08,573,B08_573,B08_573,TEST,,Prior,72.5,47
B08,574,B08_574,B08_574,PONU,,Prior,193,128
B08,575,B08_575,B08_575,CAPA,,Prior,246,115
B08,576,B08_576,B08_576,TEST,,Prior,353,319
B08,577,B08_577,B08_577,TEST,,Prior,364,377
B08,578,B08_578,B08_578,TEST,,Prior,352,500
B08,579,B08_579,B08_579,TEST,,Prior,364,415
B08,580,B08_580,B08_580,TEST,,Prior,412,350
B09,601,B09_601,B09_601,DRWI,,Prior,370,360
B09,791,B09_791,B09_791,PONU,,Prior,120,430
B09,792,B09_792,B09_792,PONU,,Prior,150,380
B09,793,B09_793,B09_793,PONU,,Prior,60,340
B09,794,B09_794,B09_794,PONU,,Prior,15,75
B09,795,B09_795,B09_797,TEST,R1,Prior,400,220
B09,797,B09_797,B09_797,TEST,R1,Prior,360,170
B09,798,B09_798,B09_797,TEST,R1,Prior,390,170
B10,967,B10_967,B10_967,PONU,,Prior,80,120
B10,970,B10_970,B10_970,-999,,Prior,225,28
B10,971,B10_971,B10_971,DRWI,,Prior,400,0
B10,972,B10_972,B10_972,TEST,,Prior,360,90
B10,973,B10_973,B10_973,TEST,,Prior,360,135
B11,125,B11_125,B11_125,PONU,,Prior,135,15
B11,126,B11_126,B11_126,AMLU,,Prior,495,390
B12,411,B12_411,B12_411,AMLU,,Prior,60,170
B12,412,B12_412,B12_412,TEST,,Prior,150,330
B12,413,B12_413,B12_413,TEST,,Prior,164,320
B12,414,B12_414,B12_414,TEST,,Prior,400,390
B13,567,B13_567,B13_567,TEST,,Prior,350,50
B13,568,B13_568,B13_568,-999,,Prior,370,100
B14,2924,B14_2924,B14_2924,DRWI,,Prior,60,350
B14,446,B14_446,B14_446,NONI,,Prior,190,100
B14,447,B14_447,B14_447,DRWI,,Prior,80,60
B14,449,B14_449,B14_449,DRWI,,Prior,360,200
B14,450,B14_450,B14_450,PONU,,Prior,360,300
B14,451,B14_451,B14_451,DRWI,,Prior,240,430
B14,452,B14_452,B14_452,DRWI,,Prior,310,450
B14,453,B14_453,B14_453,TEST,,Prior,330,470
B14,454,B14_454,B14_454,TEST,,Prior,350,470
B14,455,B14_455,B14_455,DRWI,,Prior,320,330
B14,456,B14_456,B14_456,TEST,,Prior,330,300
B15,113,B15_113,B15_113,DRWI,,Prior,45,45
B15,114,B15_114,B15_114,AMLU,R1,Prior,130,70
B15,115,B15_115,B15_114,AMLU,R1,Prior,110,30
B15,116,B15_116,B15_116,DRWI,,Prior,50,135
B15,117,B15_117,B15_117,AMLU,,Prior,0,165
B15,118,B15_118,B15_118,DRWI,,Prior,20,240
B15,119,B15_119,B15_119,DRWI,,Prior,60,190
B15,120,B15_120,B15_120,DRWI,,Prior,55,215
B15,121,B15_121,B15_121,PONU,,Prior,55,470
B15,123,B15_123,B15_123,PONU,,Prior,85,485
B15,125,B15_125,B15_125,DRWI,,Prior,135,200
B15,126,B15_126,B15_126,DRWI,,Prior,220,260
B15,127,B15_127,B15_127,CRHO,,Prior,130,240
B15,128,B15_128,B15_128,DRWI,,Prior,210,320
B15,129,B15_129,B15_129,DRWI,,Prior,350,170
B15,131,B15_131,B15_131,NONI,,Prior,480,130
B15,132,B15_132,B15_132,NONI,,Prior,420,400
B16,10,B16_10,B16_10,TEST,,Prior,160,420
B16,11,B16_11,B16_11,CAPA,,Prior,310,50
B16,12,B16_12,B16_12,TEST,,Prior,300,200
B16,13,B16_13,B16_13,TEST,,Prior,360,300
B16,14,B16_14,B16_14,TEST,,Prior,390,170
B16,15,B16_15,B16_15,NONI,,Prior,490,150
B16,17,B16_17,B16_18,TEST,R1,Prior,450,255
B16,18,B16_18,B16_18,TEST,R1,Prior,450,270
B16,19,B16_19,B16_18,TEST,R1,Prior,460,260
B16,20,B16_20,B16_18,TEST,R1,Prior,470,265
B16,21,B16_21,B16_21,TEST,,Prior,480,280
B16,22,B16_22,B16_22,CRHO,,Prior,475,275
